id,name
1,Pool
2,Workout_Room
3,Free_Internet
4,Breakfast
5,Meeting_Rooms
6,Non_Smoking_Hotel
7,Bar
8,Laundry_service
9,Multilingual_Staff
10,Pets_Allowed
11,Wheelchair_Access
12,Refrigerator_in_room
13,Air_Conditioning
